,hindi,english
0,अलीगढ़ मुस्लिम विश्वविद्यालय,Aligarh Muslim University
1,उत्तर प्रदेश,Uttar Pradesh
2,नसीरुद्दीन शाह,Naseeruddin Shah
3,नैनीताल,Nainital
4,भारत,India
5,भारतीय सेना,Indian Armed Forces
6,लेफ्टिनेंट जनरल,Lieutenant general
7,इलाहाबाद,Allahabad
8,एयर चीफ़ मार्शल,Air chief marshal
9,भारत,India
10,भारतीय वायु सेना,Indian Air Force
11,भारतीय वायुसेना,Indian Air Force
12,असम,Assam
13,इन्दिरा गांधी,Indira Gandhi
14,इलाहाबाद,Allahabad
15,इलाहाबाद विश्वविद्यालय,University of Allahabad
16,उत्तर प्रदेश,Uttar Pradesh
17,ऑक्सफ़र्ड विश्वविद्यालय,University of Oxford
18,कसौली,Kasauli
19,गुजरात,Gujarat
20,जम्मू और कश्मीर,Jammu and Kashmir (state)
21,जवाहरलाल नेहरू,Jawaharlal Nehru
22,त्रिपुरा,Tripura
23,नागालैण्ड,Nagaland
24,पद्म विभूषण,Padma Vibhushan
25,भारतीय सिविल सेवा,Civil Services of India
26,मणिपुर,Manipur
27,मेघालय,Meghalaya
28,मोतीलाल नेहरू,Motilal Nehru
29,रामेश्वरी नेहरू,Rameshwari Nehru
30,विश्व बैंक,World Bank
31,संयुक्त राज्य अमेरिका,United States
32,हिमाचल प्रदेश,Himachal Pradesh
33,राजस्थान,Rajasthan
