,hindi,english
0,आई॰ऍस॰बी॰ऍन॰,International Standard Book Number
1,दिल्ली,Delhi
2,भाई परमानन्द,Bhai Parmanand
3,भारत,India
4,अभिनव भारत,Abhinav Bharat
5,इण्डिया हाउस,India House
6,कन्हाई लाल दत्त,Kanailal Dutta
7,खुदीराम बोस,Khudiram Bose
8,पंजाब,Punjab
9,भारतीय स्वतन्त्रता आन्दोलन,Indian independence movement
10,मुम्बई,Mumbai
11,लन्दन,London
12,लाहौर,Lahore
13,विनायक दामोदर सावरकर,Vinayak Damodar Savarkar
14,श्यामजी कृष्ण वर्मा,Shyamji Krishna Varma
15,हिन्दू,Hindus
16,अमीर चंद (मेजर जनरल),Amir Chand
17,पत्रकार,Journalist
18,पेशावर,Peshawar
19,भारत,India
20,भारतीय राष्ट्रीय कांग्रेस,Indian National Congress
21,अमृतसर,Amritsar
22,बरनाला,Barnala
23,लाहौर,Lahore
24,शिरोमणि अकाली दल,Shiromani Akali Dal
