,hindi,english
0,शर्मिला टैगोर,Sharmila Tagore
1,सैफ़ अली ख़ान,Saif Ali Khan
2,पद्म श्री,Padma Shri
3,भारतीय क्रिकेट टीम,India national cricket team
4,रणजी ट्रॉफी,Ranji Trophy
5,विजय मर्चेंट,Vijay Merchant
6,विज्डन क्रिकेटर्स अल्मनाक,Wisden Cricketers' Almanack
7,सी॰ के॰ नायडू,C. K. Nayudu
8,इंदौर,Indore
9,द ओवल,The Oval
10,प्रथम श्रेणी क्रिकेट,First-class cricket
11,बंगाल,Bengal
12,मध्य प्रदेश,Madhya Pradesh
13,मध्य प्रांत और बरार,Central Provinces
14,महाराष्ट्र,Maharashtra
15,मैसूर,Mysore
16,लेग ब्रेक,Leg break
17,होलकर,Holkar
18,क्रिकेट,Cricket
19,जबलपुर,Jabalpur
20,भारत,India
21,मध्य प्रदेश,Madhya Pradesh
